mode_a,mode_b,maximum_absolute_normalized_crosscorrelation,signed_lag_of_maximum_fs,zero_lag_normalized_crosscorrelation,connected_at_threshold
6,14,0.21297443335043637,44.5,-1.2039670601111226e-16,False
3,10,0.21274014749933634,32.5,1.0088910212670737e-16,False
9,10,0.21091935090866404,-37.0,-1.6879426077107032e-16,False
8,10,0.20950084002268543,-24.5,6.921713461147216e-16,False
10,18,0.20944669474279057,35.0,-2.845028524485909e-16,False
1,16,0.20919037423119882,-39.5,2.5532638227995204e-16,False
4,9,0.20834623458079315,45.5,1.566211070950175e-16,False
1,14,0.2073789540806602,35.0,-1.7691851474645147e-16,False
5,13,0.2072243276998978,22.5,4.1430241774763542e-16,False
1,8,0.2043355327817238,44.0,5.835660698800524e-16,False
10,14,0.2035756587180201,19.0,-4.686541936920212e-16,False
12,17,0.2033399731170478,-30.0,2.7676089848703266e-17,False
5,17,0.20317231108225187,-42.5,6.898214564931438e-16,False
4,16,0.20285454995704735,-33.0,-2.432511397290867e-16,False
5,12,0.20281905281479323,-27.5,7.610359057879152e-17,False
2,14,0.1969477688299107,26.5,2.925098055802453e-16,False
10,13,0.19532759660313626,-27.0,2.251599645577542e-16,False
3,8,0.1952111559479834,19.0,2.7658452555085735e-16,False
9,11,0.1895212185444842,12.0,1.4546069734200198e-16,False
2,18,0.1862375314522057,27.5,-3.3503364350591586e-16,False
1,13,0.1852090550779416,48.5,-4.314998508447028e-17,False
13,14,0.18503965880371684,12.0,-5.004241820083258e-16,False
6,11,0.18367540224627713,-41.5,7.180854120731389e-17,False
4,10,0.180374427556401,41.0,-1.1523084138370064e-17,False
3,6,0.1791203814408017,-41.5,-9.024676304072628e-17,False
8,13,0.1788017532018921,18.5,-3.270117397793029e-16,False
14,16,0.17799752533169755,47.0,-2.3730568601547613e-16,False
1,12,0.17691351965491572,42.0,-1.7672510681415793e-16,False
11,18,0.17577984849565575,14.0,-2.1961764610458805e-16,False
12,16,0.17419854256250564,11.5,-1.8818013165630504e-16,False
9,16,0.17373960634660293,-11.0,3.1833425866086415e-16,False
6,7,0.17291380764088818,50.0,2.90369199367854e-16,False
7,9,0.17195459659759096,32.5,-1.197678761732226e-16,False
6,9,0.16937487719079056,35.0,1.6655351456883809e-16,False
7,12,0.16611259176283247,-24.0,-2.1925034040787923e-16,False
13,15,0.16372016336498044,41.5,7.670694496508309e-16,False
2,9,0.16363623028518406,40.0,-9.572367375039847e-17,False
5,10,0.16206720185999085,30.0,-4.077988978562164e-16,False
11,16,0.16189169611323828,-10.5,2.2002552639070766e-16,False
3,16,0.16084271030769043,-27.0,4.019607946060505e-16,False
1,6,0.1586069353195171,-26.5,1.3693062246700486e-16,False
6,13,0.15838183768729394,-16.5,-5.00984996308174e-16,False
14,17,0.1583607582189793,-13.5,2.972586570577757e-16,False
6,16,0.15769710579891943,-34.5,-4.424748908286622e-16,False
