mode_a,mode_b,maximum_absolute_normalized_crosscorrelation,signed_lag_of_maximum_fs,zero_lag_normalized_crosscorrelation,connected_at_threshold
11,16,0.16150190325096986,-10.5,-7.663300714365528e-16,False
5,10,0.16139153381565383,30.0,-8.02238406146291e-16,False
3,18,0.15875102213474748,-30.0,1.4100099694269242e-16,False
14,17,0.15770280971077147,-33.5,1.0878439850845005e-17,False
6,16,0.15524083807412944,-35.0,-3.8161452010635854e-16,False
3,14,0.15416152340720177,-48.5,-3.250130333287079e-16,False
1,6,0.14930258570306598,-26.5,-8.188293519083662e-17,False
10,16,0.14661714039504997,-41.5,2.017721043891804e-16,False
2,12,0.14607746506935365,38.5,-3.381031049718243e-16,False
16,18,0.14404266030200263,-37.5,4.394688098282648e-16,False
5,18,0.12810438113132483,41.5,-3.194304190824163e-16,False
2,16,0.12147394594045544,50.0,3.5710816877248346e-16,False
13,17,0.11404085104827158,-21.5,3.265280547062391e-17,False
5,16,0.09880494849433351,18.5,-1.3780784766089337e-16,False
